"GRCODE","GRNAME","AccidentYear","DevelopmentYear","DevelopmentLag","IncurredLosses","CumPaidLoss","BulkLoss","EarnedPremDIR","EarnedPremCeded","EarnedPremNet","Single","PostedReserves2007"
43,"IDS Property Cas Ins Co",2002,2005,4,97786,88921,3603,119821,1171,118650,0,277117.746
43,"IDS Property Cas Ins Co",2002,2006,5,95741,92669,-30,119821,1171,118650,0,277117.746
43,"IDS Property Cas Ins Co",2002,2007,6,95553,94495,99,119821,1171,118650,0,277117.746
43,"IDS Property Cas Ins Co",2003,2003,1,121253,46938,41413,165253,2035,163219,0,277117.746
43,"IDS Property Cas Ins Co",2003,2004,2,127642,87012,19516,165253,2035,163219,0,277117.746
43,"IDS Property Cas Ins Co",2003,2005,3,127216,103552,9648,165253,2035,163219,0,277117.746
43,"IDS Property Cas Ins Co",2003,2006,4,123403,113585,3340,165253,2035,163219,0,277117.746
43,"IDS Property Cas Ins Co",2003,2007,5,122234,118029,1229,165253,2035,163219,0,277117.746
43,"IDS Property Cas Ins Co",2004,2004,1,171477,57946,70226,210488,2474,208014,0,277117.746
43,"IDS Property Cas Ins Co",2004,2005,2,166694,104744,32019,210488,2474,208014,0,277117.746
43,"IDS Property Cas Ins Co",2004,2006,3,153674,126917,9415,210488,2474,208014,0,277117.746
43,"IDS Property Cas Ins Co",2004,2007,4,150201,139045,4342,210488,2474,208014,0,277117.746
43,"IDS Property Cas Ins Co",2005,2005,1,214845,63878,98754,244469,2601,241868,0,277117.746
43,"IDS Property Cas Ins Co",2005,2006,2,180847,118841,24071,244469,2601,241868,0,277117.746
43,"IDS Property Cas Ins Co",2005,2007,3,175032,145842,9192,244469,2601,241868,0,277117.746
43,"IDS Property Cas Ins Co",2006,2006,1,227149,69539,100696,263794,3237,260557,0,277117.746
43,"IDS Property Cas Ins Co",2006,2007,2,191149,129507,26882,263794,3237,260557,0,277117.746
43,"IDS Property Cas Ins Co",2007,2007,1,241972,83201,98425,281748,3288,278460,0,277117.746
